# 中华人民共和国个人信息保护法
# 来源: LLM生成骨架(兜底4)
# 生成时间: 2026-08-11 12:26:07

第三条 个人信息的处理包括个人信息的收集、存储、使用、加工、传输、提供、公开、删除等。
第二十八条 敏感个人信息包括生物识别、宗教信仰、特定身份、医疗健康、金融账户、行踪轨迹等，以及不满十四周岁未成年人的个人信息。只有在具有特定目的和充分必要并采取严格保护措施的情形下，方可处理。
第二十九条 处理敏感个人信息应当取得个人的单独同意；法律、行政法规规定应当取得书面同意的，从其规定。
第三十条 处理敏感个人信息，除告知一般事项外，还应当告知处理敏感个人信息的必要性以及对个人的影响。
第三十一条 处理不满十四周岁未成年人个人信息的，应当取得其父母或者监护人的同意，并制定专门的个人信息处理规则。
第三十三条 向境外提供个人信息的，应当通过国家网信部门组织的安全评估、经专业机构认证、按照标准合同等，并告知个人境外接收方信息并取得单独同意。
第三十九条 向境外提供个人信息的，应当告知个人境外接收方的名称、联系方式、处理目的、方式、种类，以及个人向境外接收方行使权利的方式和程序等。
第四十四条 个人对其个人信息的处理享有知情权、决定权，有权限制或者拒绝他人对其个人信息进行处理；法律、行政法规另有规定的除外。
第四十五条 个人有权查阅、复制其个人信息，个人信息处理者应当及时提供。个人请求将个人信息转移至其指定的处理者，符合国家网信部门规定条件的，个人信息处理者应当提供转移途径。
第四十六条 个人发现其个人信息不准确或者不完整的，有权请求个人信息处理者更正、补充。
第四十七条 有下列情形之一的，个人信息处理者应当主动删除个人信息；未删除的，个人有权请求删除：（一）处理目的已实现、无法实现或者为实现目的不再必要；（二）停止提供产品或者服务，或者保存期限已届满；（三）个人撤回同意；（四）处理者违反法律、行政法规或者违反约定处理个人信息；（五）法律、行政法规规定的其他情形。法律、行政法规规定的保存期限未届满，或者删除个人信息从技术上难以实现的，个人信息处理者应当停止除存储和采取必要安全保护措施之外的处理。
第五十一条 个人信息处理者应当根据个人信息的处理目的、方式等，采取相应措施确保个人信息安全，包括制定内部管理制度、采取技术措施、指定负责人、开展培训、制定应急预案等。
第五十五条 有下列情形之一的，个人信息处理者应当事前进行个人信息保护影响评估：（一）处理敏感个人信息；（二）利用个人信息进行自动化决策；（三）委托处理、向第三方提供、公开个人信息；（四）向境外提供个人信息；（五）其他对个人权益有重大影响的。评估报告应当保存至少三年。
第五十七条 发生个人信息泄露、篡改、丢失的，个人信息处理者应当立即采取补救措施，并通知履行个人信息保护职责的部门和个人。通知内容包括事件原因、危害、措施、联系方式等。采取措施能够有效避免危害的，可以不通知个人，但部门应当通知。
第五十八条 提供重要互联网平台服务、用户数量巨大、业务类型复杂的个人信息处理者，应当成立主要由外部成员组成的独立机构进行监督；制定平台规则明确处理规范；对严重违法处理个人信息的平台内产品或者服务提供者停止服务；定期发布社会责任报告，接受社会监督。
第六十六条 违反本法规定处理个人信息，或者未履行保护义务的，由履行个人信息保护职责的部门责令改正，给予警告，没收违法所得；拒不改正的，处一百万元以下罚款；对直接负责的主管人员和其他直接责任人员处一万元以上十万元以下罚款。情节严重的，处五千万元以下或者上一年度营业额百分之五以下罚款，并可以责令暂停业务、停业整顿、吊销许可证等。
第六十九条 处理个人信息侵害个人信息权益造成损害，个人信息处理者不能证明自己没有过错的，应当承担损害赔偿等侵权责任。损害赔偿责任按照个人因此受到的损失或者个人信息处理者因此获得的利益确定；难以确定的，由人民法院根据实际情况确定赔偿数额。
